url,name,date,time,location,venue
http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight,UFC Fight Night Cerrone vs Till,"Saturday, October 21",3PM,"Gdansk, Poland",Ergo Arena
http://www.ufc.com/event/ufc-fight-night-brazil-oct-28-2017#/fight,UFC Fight Night Brunson vs Machida,"Saturday, October 28",10PM,"Sao Paulo, Brazil",Ginásio do Ibirapuera
http://www.ufc.com/event/UFC-217#/fight,UFC 217 Bisping vs St-Pierre,"Saturday, November 4",,"New York, NY",Madison Square Garden
http://www.ufc.com/event/ufc-fight-night-norfolk-nov-11-2017#/fight,UFC Fight Night Poirier vs Pettis,"Saturday, November 11",,"Norfolk, Virginia",Ted Constant Convocation Center
http://www.ufc.com/event/ufc-fight-night-sydney-2017#/fight,UFC Fight Night Hunt vs Tybura,"Saturday, November 18",,"Sydney, Australia",Qudos Bank Arena
http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017#/fight,UFC Fight Night Silva vs Gastelum,"Saturday, November 25",,"Shanghai, China",Mercedes-Benz Arena
http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017#/fight,The Ultimate Fighter Finale TBA vs TBD,"Friday, December 1",,"Las Vegas, Nevada",Park Theatre
http://www.ufc.com/event/UFC-218#/fight,UFC 218 Holloway vs Edgar,"Saturday, December 2",,"Detroit, Michigan",Little Caesars Arena
http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017#/fight,UFC Fight Night TBA vs TBD,"Saturday, December 9",,"Fresno, California",Save Mart Center
http://www.ufc.com/event/ufc-fight-night-winnipeg-dec-16-2017#/fight,UFC Fight Night TBA vs TBD,"Saturday, December 16",,"Winnipeg, Canada",Bell MTS Place
http://www.ufc.com/event/UFC-219#/fight,UFC 219 TBA vs TBD,"Saturday, December 30",,"Las Vegas, Nevada",T-Mobile Arena
