fighter,opponent,weight class,event_url
Donald Cerrone,Darren Till,Welterweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Karolina Kowalkiewicz,Jodie Esquibel,Women's Strawweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Jan Blachowicz,Devin Clark,Light Heavyweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Jonathan Wilson,Oskar Piechota,Middleweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Marcin Held,Teemu Packalen,Lightweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Anthony Hamilton,Adam Wieczorek,Heavyweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Damian Stasiak,Brian Kelleher,Bantamweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Trevor Smith,Ramazan Emeev,Middleweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Artem Lobov,Andre Fili,Featherweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Jimmy Wallhead,Warlley Alves,Welterweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Lina Lansberg,Aspen Ladd,Women's Bantamweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-poland-2017#/fight', 'date': u'Saturday, October 21', 'location': u'Gdansk, PolandErgo Arena', 'time': u'3PM'}"
Felipe Arantes,Josh Emmett,Featherweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-brazil-oct-28-2017#/fight', 'date': u'Saturday, October 28', 'location': u'Sao Paulo, BrazilGin\xe1sio do Ibirapuera', 'time': u'10PM'}"
Derek Brunson,Lyoto Machida,Middleweight,"{'url': 'http://www.ufc.com/event/ufc-fight-night-brazil-oct-28-2017#/fight', 'date': u'Saturday, October 28', 'location': u'Sao Paulo, BrazilGin\xe1sio do Ibirapuera', 'time': u'10PM'}"
